gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Support_Tickets,App_Logins,Data_Usage_GB,Gouvernorat
Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,3,19,69.85,Nabeul
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,One year,No,Mailed check,56.95,1889.5,No,3,28,76.36,Sfax
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,4,1,30.05,Tunis
Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,4,22,16.49,Gabès
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,7,3,32.17,Sfax
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,4,3,33.25,Monastir
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,2,7,102.97,Nabeul
Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,2,28,80.95,Médiénine
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,5,1,2.86,Ben Arous
Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,1,16,40.93,Sfax
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,1,24,31.75,Tunis
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,24,64.1,Gabès
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,2,18,76.96,Kef
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,9,2,6.19,Tunis
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,3,11,80.04,Sousse
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,1,13,109.11,Tunis
Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,3,5,16.76,Bizerte
Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,1,25,99.42,Sousse
